,Source,Number,Title,Artist,Genre,Subgenre/Style,Year,Clip name
32,2,107,One Dance,Drake featuring Wizkid and Kyla,6.0,Contemporary,2016.0,0107_drakeFeaturingWizkidAndKyla_oneDance.mp4
33,2,108,Work,Rihanna featuring Drake,6.0,Pop/Raggae,2016.0,0108_rihannaFeaturingDrake_work.mp4
34,2,109,Cheap Thrills,Sia featuring Sean Paul,5.0,Raggae,2016.0,0109_siaFeaturingSeanPaul_cheapThrills.mp4
35,2,110,Panda,Desiigner,6.0,Trap,2016.0,0110_desiigner_panda.mp4
36,2,111,The Hills,The Weeknd,6.0,Contemporary,2015.0,0111_theWeeknd_theHills.mp4
37,2,112,Sugar,Maroon 5,7.0,Pop/Rock,2015.0,0112_maroon5_sugar.mp4
38,2,113,Trap Queen,Fetty Wap,6.0,Contemporary,2015.0,0113_fettyWap_trapQueen.mp4
39,2,114,Can't Feel My Face,The Weeknd,6.0,Contemporary,2015.0,0114_theWeeknd_cantFeelMyFace.mp4
40,2,115,Hello,Adele,5.0,Ballad,2015.0,0115_adele_hello.mp4
41,2,116,Rude,Magic!,5.0,Raggae,2014.0,0116_magic_rude.mp4
42,2,117,Take Me to Church,Hozier,7.0,Pop/Rock,2014.0,0117_hozier_takeMeToChurch.mp4
43,2,118,All of Me,John Legend,5.0,Ballad,2014.0,0118_johnLegend_allOfMe.mp4
44,2,120,Stay With Me,Sam Smith,5.0,Ballad,2014.0,0120_samSmith_stayWithMe.mp4
45,2,121,Royals,Lorde,5.0,Contemporary,2013.0,0121_lorde_royals.mp4
46,2,123,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,5.0,RnB/Swing,2013.0,0123_robinThickeFeaturingTIAndPharrellWilliams_blurredLines.mp4
47,2,125,Roar,Katy Perry,5.0,Contemporary,2013.0,0125_katyPerry_roar.mp4
